y,x1,x2
-54.4799980731334,551.8382401205599,729.6657126862556
-43.18600314566851,498.4431720804423,766.7578407563269
-34.95576114033325,237.38102987408638,177.78941406868398
-38.48327778444614,446.9306436367333,446.0562071762979
-61.001396322494706,942.9948672186583,978.9713327772915
-33.286406164008575,291.8971630278975,81.94617368280888
-31.24050823961369,956.2719429377466,407.2889257222414
-29.092446388151455,224.24270352348685,319.82419383712113
-57.34671972330114,866.1061886232346,532.5194341130555
-38.27308807849145,701.0515527799726,124.13154216483235
-50.49859068090179,159.07478891313076,923.9947476889938
-38.832503557716464,401.2120293918997,379.51747165061533
-39.52402402955014,718.0835867766291,615.7185139600188
-53.14486107991246,366.5579906664789,549.3195950984955
-41.200599770218254,230.356324929744,232.4043749831617
-26.632138776589215,417.21232794225216,123.02601127885282
-27.64858614500212,29.317223466932774,351.85076715424657
-56.89972950061279,589.4361662212759,860.6841312721372
-72.06487352665243,883.4375743754208,717.1259522438049
-39.699722129069805,80.68339363671839,636.3643538206816
-57.02531550736987,828.7440019194037,984.9874472711235
-14.055531088179869,785.1595918182284,139.98769083991647
-23.861684474315865,919.7503940667957,366.21025716885924
-71.20249863838532,179.88486122339964,850.6081772502512
-58.356152010174014,658.0977875273675,582.4808441102505
-58.92569883622114,874.9953985679895,644.794984254986
-31.44059431555295,936.4227044861764,263.16787162795663
-33.80359370538232,862.1779326349497,22.487612906843424
-52.204954480134305,63.22957528755069,503.9518941193819
-49.20577134305902,288.9966575894505,829.0359955281019
-34.28971874338784,320.7899334374815,136.08737383037806
-30.120647829135855,918.8040613662452,199.35662019997835
-53.13447222568125,217.7190671209246,567.8660266567022
-34.81994852270021,622.6882189512253,387.8157688304782
-39.21510596190867,182.6952393166721,353.79878408275545
-48.491513870556645,242.4292559735477,573.0071109719574
-63.35805537225869,602.7825332712382,895.3272320795804
-50.36342377121555,648.3456478454173,669.1164653748274
-33.80698710917355,762.7396862953901,352.6338424999267
-50.00136191479844,201.4899339992553,122.9215394705534
-44.112459288037016,624.3567096535116,459.29032866843045
-45.861565375292145,285.82014166750014,830.380613449961
-32.282532160050856,463.7359094340354,220.3683804254979
-38.603652987721546,295.6683188676834,474.2992022074759
-48.07069237237349,502.933420939371,681.5324479248375
-57.932037356039885,190.74245169758797,669.1995486617088
-46.46241243255013,50.65583740361035,453.2683943398297
-36.99104732958956,196.213896619156,526.7167880665511
-52.34396859504043,460.38577146828175,522.7426704950631
-56.43996633325814,967.2562074847519,747.7843356318772
-31.541172462456977,712.6824483275414,602.4352107197046
-28.938695832303722,151.8082267139107,74.60638391785324
-67.45027275543191,565.7287179492414,845.9547632373869
-47.66649971546555,4.201599163934588,534.8672287072986
-26.4626463793667,613.7917656451464,97.65010047703981
-54.90122987925757,855.0353175960481,848.4865012578666
-59.87424714020917,945.0302340555936,924.5537908282131
-50.60790401655268,320.8703736308962,885.1828696206212
-74.12965625110074,110.38373317569494,933.0401625484228
-45.345588091082526,269.78275878354907,724.19214528054
